,Name,Type,Campus setting,Student population,Undergraduate students,Graduation Rate,Transfer-Out Rate,Net Price **
330,Rockford University,"4-year, Private not-for-profit",City: Midsize,1204,982,41,NA,22166
331,Rockhurst University,"4-year, Private not-for-profit",City: Large,2990,2185,76,NA,22688
332,Roosevelt University,"4-year, Private not-for-profit",City: Large,4071,2381,41,39,24036
333,Rosalind Franklin University of Medicine and Science,"4-year, Private not-for-profit",Suburb: Large,2102,NA,NA,NA,NA
334,Rose-Hulman Institute of Technology,"4-year, Private not-for-profit",City: Small,2038,2000,86,NA,45356
335,Rush University,"4-year, Private not-for-profit",City: Large,2755,112,NA,NA,NA
336,Sacred Heart Major Seminary,"4-year, Private not-for-profit",City: Large,450,279,0,NA,24334
337,Saginaw Valley State University,"4-year, Public",Suburb: Midsize,8251,7476,44,NA,14271
338,Saint Ambrose University,"4-year, Private not-for-profit",City: Midsize,2968,2260,64,18,26561
339,Saint Anthony College of Nursing,"4-year, Private not-for-profit",City: Midsize,280,202,NA,NA,NA
340,Saint Augustine College,"4-year, primarily associate's, Private not-for-profit",City: Large,NA,NA,14,NA,9461
341,Saint Cloud State University,"4-year, Public",City: Small,13049,11346,48,31,13594
342,Saint Francis Medical Center College of Nursing,"4-year, Private not-for-profit",City: Midsize,509,320,NA,NA,NA
343,Saint Louis Christian College,"4-year, Private not-for-profit",Suburb: Large,79,79,40,25,10591
344,Saint Louis University,"4-year, Private not-for-profit",City: Large,12799,8332,79,NA,31098
345,Saint Luke's College of Health Sciences,"4-year, Private not-for-profit",City: Large,635,506,NA,NA,23068
346,Saint Mary's College,"4-year, Private not-for-profit",Suburb: Large,1580,1452,79,13,26906
347,Saint Mary's University of Minnesota,"4-year, Private not-for-profit",Town: Distant,5548,1467,64,NA,20369
348,Saint Norbert College,"4-year, Private not-for-profit",Suburb: Midsize,2081,2000,73,24,26540
349,Saint Xavier University,"4-year, Private not-for-profit",City: Large,3623,2957,56,30,14975
350,School of the Art Institute of Chicago,"4-year, Private not-for-profit",City: Large,3682,2983,70,17,50167
351,Schoolcraft College,"4-year, primarily associate's, Public",City: Small,9230,9230,15,28,7975
352,Shawnee State University,"4-year, Public",Town: Fringe,3641,3466,35,26,14945
353,Siena Heights University,"4-year, Private not-for-profit",Town: Distant,2337,2103,47,NA,19146
354,Simpson College,"4-year, Private not-for-profit",Town: Fringe,1355,1307,72,NA,20145
355,South Dakota School of Mines and Technology,"4-year, Public",City: Small,2525,2202,49,8,19444
356,South Dakota State University,"4-year, Public",Town: Remote,11512,10067,56,NA,18195
357,Southeast Missouri Hospital College of Nursing and Health Sciences,"4-year, primarily associate's, Private not-for-profit",City: Small,154,154,100,NA,22395
358,Southeast Missouri State University,"4-year, Public",City: Small,10637,9524,50,NA,12350
359,Southern Illinois University-Carbondale,"4-year, Public",City: Small,11695,8466,48,NA,16299
360,Southern Illinois University-Edwardsville,"4-year, Public",Suburb: Large,13061,10400,51,33,14790
361,Southwest Baptist University,"4-year, Private not-for-profit",Town: Distant,3281,2588,46,27,18344
362,Southwest Minnesota State University,"4-year, Public",Town: Remote,7058,6636,50,34,14658
363,Southwestern College,"4-year, Private not-for-profit",Town: Distant,1512,1359,42,45,23731
364,Spring Arbor University,"4-year, Private not-for-profit",Suburb: Small,3333,1614,59,NA,20427
365,St Catherine University,"4-year, Private not-for-profit",City: Large,4401,3153,58,34,20172
366,St Luke's College,"4-year, primarily associate's, Private not-for-profit",City: Small,235,235,100,NA,21704
367,St Olaf College,"4-year, Private not-for-profit",Town: Distant,3072,3072,86,12,27779
368,St. John's College-Department of Nursing,"4-year, Private not-for-profit",City: Midsize,137,119,NA,NA,NA
369,St. Louis College of Pharmacy,"4-year, Private not-for-profit",City: Large,1037,333,82,14,27322
370,Stephens College,"4-year, Private not-for-profit",City: Midsize,652,480,46,NA,22604
371,Summit Christian College,"4-year, Private not-for-profit",Town: Remote,25,25,67,NA,7380
372,Tabor College,"4-year, Private not-for-profit",Town: Remote,642,577,43,NA,24708
373,Taylor University,"4-year, Private not-for-profit",Town: Distant,2173,2147,77,NA,26703
374,Telshe Yeshiva-Chicago,"4-year, Private not-for-profit",City: Large,86,71,6,61,6450
375,The Chicago School of Professional Psychology at Chicago,"4-year, Private not-for-profit",City: Large,1307,11,NA,NA,NA
376,The Christ College of Nursing and Health Sciences,"4-year, Private not-for-profit",City: Large,938,938,50,7,17443
377,The College of Saint Scholastica,"4-year, Private not-for-profit",City: Small,3906,2481,69,9,24636
378,The College of Wooster,"4-year, Private not-for-profit",Town: Distant,1942,1942,77,NA,28209
379,The University of Findlay,"4-year, Private not-for-profit",Town: Distant,4714,3524,65,NA,25066
380,Tiffin University,"4-year, Private not-for-profit",Town: Distant,2926,2182,39,40,21539
381,Trine University,"4-year, Private not-for-profit",Town: Distant,3970,3808,63,30,23202
382,Trine University-Regional/Non-Traditional Campuses,"4-year, Private not-for-profit",City: Large,747,279,0,50,NA
383,Trinity Christian College,"4-year, Private not-for-profit",Suburb: Large,1068,1005,67,NA,23177
384,Trinity College of Nursing & Health Sciences,"4-year, Private not-for-profit",City: Small,175,157,NA,NA,NA
385,Trinity International University-Illinois,"4-year, Private not-for-profit",Suburb: Large,1722,722,59,30,21218
386,Tri-State Bible College,"4-year, Private not-for-profit",Suburb: Midsize,29,26,100,NA,24378
387,Truman State University,"4-year, Public",Town: Remote,5231,4939,75,NA,12912
388,Union Bible College,"4-year, Private not-for-profit",Suburb: Large,66,66,20,NA,9250
389,Union College,"4-year, Private not-for-profit",City: Large,770,680,46,NA,22831
390,Union Institute & University,"4-year, Private not-for-profit",City: Large,860,604,58,25,16585
391,United Tribes Technical College,"4-year, primarily associate's, Private not-for-profit",Suburb: Small,434,434,15,24,4678
392,University of Akron Main Campus,"4-year, Public",City: Midsize,17600,14794,46,19,17351
393,University of Central Missouri,"4-year, Public",Town: Distant,11229,8904,51,27,13098
394,University of Chicago,"4-year, Private not-for-profit",City: Large,17452,6891,95,1,34719
395,University of Cincinnati-Blue Ash College,"4-year, primarily associate's, Public",Suburb: Large,5986,5986,14,76,13305
396,University of Cincinnati-Clermont College,"4-year, primarily associate's, Public",Suburb: Large,6349,6349,20,71,9412
397,University of Cincinnati-Main Campus,"4-year, Public",City: Large,39263,28376,71,17,19219
398,University of Dayton,"4-year, Private not-for-profit",City: Midsize,11473,8483,82,NA,33372
399,University of Detroit Mercy,"4-year, Private not-for-profit",City: Large,5080,2745,67,22,18338
400,University of Dubuque,"4-year, Private not-for-profit",City: Small,2302,1900,43,NA,26193
401,University of Evansville,"4-year, Private not-for-profit",City: Midsize,2371,2124,68,23,21978
402,University of Illinois at Chicago,"4-year, Public",City: Large,32324,21641,61,NA,12322
403,University of Illinois at Springfield,"4-year, Public",City: Midsize,4275,2674,54,NA,11534
404,University of Illinois at Urbana-Champaign,"4-year, Public",City: Small,51605,34120,85,NA,14660
405,University of Indianapolis,"4-year, Private not-for-profit",City: Large,5801,4402,60,29,21161
406,University of Iowa,"4-year, Public",City: Small,31240,23482,72,21,17008
407,University of Jamestown,"4-year, Private not-for-profit",Town: Remote,1115,908,45,36,19695
408,University of Kansas,"4-year, Public",City: Small,27552,19667,67,25,19195
409,University of Michigan-Ann Arbor,"4-year, Public",City: Midsize,48090,31266,93,NA,17357
410,University of Michigan-Dearborn,"4-year, Public",City: Small,9191,6910,56,28,10634
411,University of Michigan-Flint,"4-year, Public",City: Small,7297,5862,40,NA,12153
412,University of Minnesota-Crookston,"4-year, Public",Town: Distant,2768,2768,50,33,11483
413,University of Minnesota-Duluth,"4-year, Public",City: Small,10858,9847,62,29,16828
414,University of Minnesota-Morris,"4-year, Public",Town: Remote,1499,1499,58,29,11682
415,University of Minnesota-Rochester,"4-year, Public",City: Midsize,572,572,59,38,16314
416,University of Minnesota-Twin Cities,"4-year, Public",City: Large,51327,35165,83,10,17279
417,University of Missouri-Columbia,"4-year, Public",City: Midsize,30014,22589,71,NA,15850
418,University of Missouri-Kansas City,"4-year, Public",City: Large,16388,11301,50,NA,14921
419,University of Missouri-St Louis,"4-year, Public",Suburb: Large,15988,13026,52,NA,7977
420,University of Mount Union,"4-year, Private not-for-profit",Town: Fringe,2243,2035,66,22,23583
421,University of Nebraska at Kearney,"4-year, Public",Town: Distant,6279,4429,56,28,15890
422,University of Nebraska at Omaha,"4-year, Public",City: Large,15153,12245,50,32,12899
423,University of Nebraska Medical Center,"4-year, Public",City: Large,4055,918,NA,NA,NA
424,University of Nebraska-Lincoln,"4-year, Public",City: Large,25390,20478,66,12,17093
425,University of North Dakota,"4-year, Public",City: Small,13581,10163,61,25,15654
426,University of Northern Iowa,"4-year, Public",City: Small,10477,8953,67,23,15760
427,University of Northwestern Ohio,"4-year, primarily associate's, Private not-for-profit",Suburb: Small,3221,3158,60,9,17399
428,University of Northwestern-St Paul,"4-year, Private not-for-profit",Suburb: Large,3525,3376,68,NA,23085
429,University of Notre Dame,"4-year, Private not-for-profit",Suburb: Large,12683,8732,96,NA,30536
430,University of Saint Francis-Fort Wayne,"4-year, Private not-for-profit",City: Large,2249,1745,55,NA,18055
431,University of Saint Mary,"4-year, Private not-for-profit",Town: Fringe,1240,782,52,39,21019
432,University of Sioux Falls,"4-year, Private not-for-profit",City: Midsize,1675,1390,64,NA,19744
433,University of South Dakota,"4-year, Public",Town: Distant,9920,7475,59,27,17689
434,University of Southern Indiana,"4-year, Public",Suburb: Midsize,10705,9162,50,27,13360
435,University of St Francis,"4-year, Private not-for-profit",Suburb: Large,3776,1744,62,NA,17687
436,University of St Thomas,"4-year, Private not-for-profit",City: Large,9824,6355,76,18,29645
437,University of Toledo,"4-year, Public",City: Large,19694,15568,50,NA,17822
438,University of Wisconsin-Eau Claire,"4-year, Public",City: Small,11255,10591,67,NA,14010
439,University of Wisconsin-Green Bay,"4-year, Public",City: Midsize,8766,8370,53,NA,11839
440,University of Wisconsin-La Crosse,"4-year, Public",City: Small,10623,9668,69,NA,12167
441,University of Wisconsin-Madison,"4-year, Public",City: Large,44257,32399,88,NA,16103
442,University of Wisconsin-Milwaukee,"4-year, Public",City: Large,25731,21107,44,NA,14822
443,University of Wisconsin-Milwaukee Flex,"4-year, Public",City: Large,602,602,NA,NA,NA
444,University of Wisconsin-Oshkosh,"4-year, Public",City: Small,15521,14267,61,NA,11980
445,University of Wisconsin-Parkside,"4-year, Public",Suburb: Midsize,4388,3906,44,NA,10154
446,University of Wisconsin-Parkside Flex,"4-year, primarily associate's, Public",Suburb: Midsize,70,70,NA,NA,NA
447,University of Wisconsin-Platteville,"4-year, Public",Town: Distant,8271,7479,56,NA,14611
448,University of Wisconsin-River Falls,"4-year, Public",Town: Distant,5980,5588,58,NA,13530
449,University of Wisconsin-Stevens Point,"4-year, Public",Town: Distant,8332,7838,60,NA,12797
450,University of Wisconsin-Stout,"4-year, Public",Town: Distant,8413,7309,60,NA,14767
451,University of Wisconsin-Superior,"4-year, Public",Suburb: Midsize,2614,2263,48,NA,12695
452,University of Wisconsin-Whitewater,"4-year, Public",Town: Distant,12452,11024,62,NA,12309
453,Urshan College,"4-year, Private not-for-profit",Suburb: Large,309,309,27,NA,8937
454,Ursuline College,"4-year, Private not-for-profit",Suburb: Large,1050,651,53,36,17562
455,Valley City State University,"4-year, Public",Town: Remote,1665,1524,50,26,12386
456,Valparaiso University,"4-year, Private not-for-profit",Suburb: Large,3502,2992,71,NA,21824
457,VanderCook College of Music,"4-year, Private not-for-profit",City: Large,144,109,67,NA,20063
458,Vincennes University,"4-year, primarily associate's, Public",Town: Remote,17239,17239,27,24,10205
